title,company,experience,salary,location,description,skills,posted,salary_disclosed,min_experience,max_experience,work_mode,location_list,skills_list,min_salary,max_salary,salary_in_lacs
Data & Record Governance Analyst,Barclays,1-8,,Bengaluru,". To be a successful Data & Record Governance Analyst, you should have experience with:...","Global Operations, Loans, Data Analysis, Data Management, Data Quality, Business Strategy, Assistant Vice President",1 week ago,False,1,8,On-site,['Bengaluru'],"['Global Operations', 'Loans', 'Data Analysis', 'Data Management', 'Data Quality', 'Business Strategy', 'Assistant Vice President']",,,False
Data Analyst,Grant Thornton,2-4,3-4 Lacs PA,Gandhinagar,Data Analyst1Education: Masters in public health; Postgraduate Statistic/Data Science ...,"Data Management, Data Analysis, Healthcare Data, Data Analysis, Healthcare",3 weeks ago,True,2,4,On-site,['Gandhinagar'],"['Data Management', 'Data Analysis', 'Healthcare Data', 'Data Analysis', 'Healthcare']",3.0,4.0,True
DATA - ANALYST,Justlead.in,1-4,,Gurugram,"Strong analytical skills, leadership abilities, and industry knowledge are essential fo...","Python, Data Analysis, Data Analysis, Strong Analytical Skills, Pivot Table, Business Analysis, Vlookup, Machine Learning",3+ weeks ago,False,1,4,On-site,['Gurugram'],"['Python', 'Data Analysis', 'Data Analysis', 'Strong Analytical Skills', 'Pivot Table', 'Business Analysis', 'Vlookup', 'Machine Learning']",,,False
DATA - ANALYST,Justlead.in,1-4,,Chandigarh,"Strong analytical skills, leadership abilities, and industry knowledge are essential fo...","Python, Data Analysis, Data Analysis, Strong Analytical Skills, Pivot Table, Business Analysis, Vlookup, Machine Learning",3+ weeks ago,False,1,4,On-site,['Chandigarh'],"['Python', 'Data Analysis', 'Data Analysis', 'Strong Analytical Skills', 'Pivot Table', 'Business Analysis', 'Vlookup', 'Machine Learning']",,,False
DATA - ANALYST,Justlead.in,1-4,,Noida,"Strong analytical skills, leadership abilities, and industry knowledge are essential fo...","Python, Data Analysis, Data Analysis, Strong Analytical Skills, Pivot Table, Business Analysis, Vlookup, Machine Learning",3+ weeks ago,False,1,4,On-site,['Noida'],"['Python', 'Data Analysis', 'Data Analysis', 'Strong Analytical Skills', 'Pivot Table', 'Business Analysis', 'Vlookup', 'Machine Learning']",,,False
Data Analyst,Unity Small Finance Bank,2-5,,Navi Mumbai,Data Analyst Product (Business Loans) Location: Navi Mumbai Experience: 2-5 years Func...,"Lending, Portfolio, Funnel Analysis, Data Analysis, Power BI, Data Visualization, Cohort, SQL",2 weeks ago,False,2,5,On-site,['Navi Mumbai'],"['Lending', 'Portfolio', 'Funnel Analysis', 'Data Analysis', 'Power BI', 'Data Visualization', 'Cohort', 'SQL']",,,False
Generative AI Data Analysts - Manipuri,Welo Data,3-8,,Remote,Duration : Ongoing. Employment Type : Full time employee. Experience working from struc...,"Qa, Computer Vision, Networking, Artificial Intelligence, Focus, Quality Review, Signalling",1 week ago,False,3,8,Remote,['Remote'],"['Qa', 'Computer Vision', 'Networking', 'Artificial Intelligence', 'Focus', 'Quality Review', 'Signalling']",,,False
Generative AI Data Analysts - Maithili,Welo Data,3-8,,Remote,Duration : Ongoing. Employment Type : Full time employee. Experience working from struc...,"Qa, Computer Vision, Networking, Artificial Intelligence, Focus, Quality Review, Signalling",1 week ago,False,3,8,Remote,['Remote'],"['Qa', 'Computer Vision', 'Networking', 'Artificial Intelligence', 'Focus', 'Quality Review', 'Signalling']",,,False
Generative AI Data Analysts - Sanskrit,Welo Data,3-8,,Remote,Duration : Ongoing. Employment Type : Full time employee. Experience working from struc...,"Qa, Computer Vision, Networking, Artificial Intelligence, Focus, Quality Review, Signalling",1 week ago,False,3,8,Remote,['Remote'],"['Qa', 'Computer Vision', 'Networking', 'Artificial Intelligence', 'Focus', 'Quality Review', 'Signalling']",,,False
Generative AI Data Analysts - Konkani,Welo Data,3-8,,Remote,Duration : Ongoing. Employment Type : Full time employee. Experience working from struc...,"Qa, Computer Vision, Networking, Artificial Intelligence, Focus, Quality Review, Signalling",1 week ago,False,3,8,Remote,['Remote'],"['Qa', 'Computer Vision', 'Networking', 'Artificial Intelligence', 'Focus', 'Quality Review', 'Signalling']",,,False
