title,company,experience,salary,location,description,skills,posted
Factory supervision and Data Analyst ( fertilizer industry),Phoenix Plants Lifesaver,2-4 Yrs,3-4.5 Lacs PA,Panipat,"Candidates having experience in manufacturing, fertilizer, or chemical industries with ...","Advanced Excel, Data Analytics, Team Management, Inventory Management, Stock Management, Production Management, Documentation, MIS Reporting",4 days ago
Data Analyst,The Kpi Institute,2-5 Yrs,,Remote,Develop and maintain complex data models and dashboards to support business decision-...,"algorithms, data analysis, data analytics, bi, power bi, data integrity, 8d, dashboards",4 days ago
Data Analyst,Viaprom Technologies,2-5 Yrs,,Bengaluru,Role Overview: We at VIAPROM are seeking a skilled Data Analyst with 2-5 years of exper...,"data analyst, analytics, python, data analytics, data analysis, automation, data validation, data processing",5 days ago
Data Analyst,Statusneo Technology Consulting,5-10 Yrs,14-22.5 Lacs PA,Hybrid - Bengaluru(Whitefield),Work with Python / Django-based Frameworks [DI1] where requiredMake lightweight UI or w...,"Dashboards, Reporting, Analytics, SQL, Python, Data Analytics, Data analysis, Data",3 days ago
Data Analyst,Knowledge Park,2-7 Yrs,,Mumbai,. M Tech (Data Science) / M Sc (Statistics) / MBA (Business Analytics) or equivalent fr...,"Automation, Business analytics, Analytical, Data collection, power bi, Senior Business Analyst, Data Analyst, Data analytics",1 week ago
Data Analyst,Knowledge Park,2-7 Yrs,,Mumbai Suburban,. M Tech (Data Science) / M Sc (Statistics) / MBA (Business Analytics) or equivalent fr...,"Automation, Business analytics, Analytical, Data collection, power bi, Senior Business Analyst, Data Analyst, Data analytics",2 weeks ago
S&C GN - Data&AI - Resources -  Analyst,Accenture,4-8 Yrs,,Bengaluru,About The Role  TBD Qualification TBD,"python, data analysis, machine learning, artificial intelligence, sql, data analytics, natural language processing, data mining",3 days ago
Data Analyst,Data Economy,8-13 Yrs,,Gurugram,"Shift Time - 12 PM to 8:30 PM IST . Role Summary  . CFA designation preferred, or curre...","Analytical, Consulting, Senior Data Analyst, power bi, Data Analyst, Data analytics, Asset management, SQL",1 week ago
Data Analyst,MAN Truck & Bus,3-5 Yrs,,Pune,"Flexibility, initiative, and strong communication skills in English . Proficiency in MS...","python, data analysis, sap, mathematics, sap business warehouse, bi, power bi, sap analytics cloud",1 day ago
Data Analyst,Motivity Labs,5-10 Yrs,,Hyderabad,Requirements: . 25 years of relevant experienceExperience: 5+ Years Hands-on experience...,"BI, Data Visualization, SQL Queries, Data Analytics, SQL, BI Tools, Power BI, Dashboards",1 day ago
Data Analyst (IoT),Log9 Materials,0-6 Yrs,,Bengaluru,Work Type: Full Time . Qualifications . Master s or Bachelors degree in a relevant fiel...,"SAS, big data analytics, Data Analyst, Customer service, Business intelligence, Macros, Analytics, Reporting tools",3+ weeks ago
Data Analyst,Tata Consultancy Services,8-11 Yrs,,Nagpur,Job Description: Data Analyst Experience RequiredData Analyst: 8-10 yearsSenior Data An...,"Shell Scripting, Data Analysis, ETL, Life Insurance, PLSQL, Python, SQL, Analysis",2 days ago
Data Analyst,MAN Truck & Bus,5-8 Yrs,,Pune,"Flexibility, initiative, and strong communication skills in English . Advanced proficie...","bi, vlookup, dashboards, report automation, sql, automation, advanced excel, reporting",1 day ago
Data Analyst,Policybazaar,2-6 Yrs,6-10 Lacs PA,Gurugram,Design and maintain databases using relational databases such as MySQL or PostgreSQL. J...,"SQL, Data Analysis, Data Visualization, Tableau, Data Analytics, Python, Analysis, Analytics",2 days ago
Data Analyst,Siemens,3-8 Yrs,,Bengaluru,"Bachelors degree in Data Science, Statistics, Computer Science, or equivalent 3+ years ...","data analyst, python, project management, data processing, data warehousing, business intelligence, sales, sql",1 week ago
Data Analyst,Bajaj Finance,1-2 Yrs,,Pune,"Graduate or PostGraduate in Computer Science, Information Technology, or Data Science /...","Data Analyst, Azure, Eda, Power Bi, Big Data, Tableau, Elt, Devops",1 week ago
Data Analyst,PwC Service Delivery Center,2-5 Yrs,,Bengaluru,Shift Timing : 3:00 PM - 12:00 AM. Required Knowledge / Skills (BQ): Strong experience ...,"Power Bi, Dax, ETL, Python, SQL, Data Engineering, Data Visualization, Data Extraction",1 week ago
Data Analyst - App Data,Greedygame Media,2-5 Yrs,,Bengaluru,"Requirements . 2 4 years of experience in Product Analytics, Data Analytics, or Growth ...","Product quality, Health insurance, Data analysis, Publishing, power bi, Data analytics, data visualization, Analytics",2 weeks ago
Data Analyst,Salespoint,0-3 Yrs,,Remote,Requires Bachelor s in Technology Engineering + 6 months experienceProficiency in SQL a...,"Media marketing, Analytical, Machine learning, Cloud, Manager Technology, Market assessment, E-commerce, Data Analyst",2 days ago
DATA ANALYST L3,Wipro,3-5 Yrs,,Pune,Experience: 3-5 Years . . .,"Data Analyst, Data Validation, Automation, C, Business Analytics, Digital Transformation, Emr, Reporting Tools",1 week ago
Data Analyst,Cargill,4-7 Yrs,10-16 Lacs PA,Hybrid - Bengaluru,"Bachelors degree in Data Science, Statistics, Computer Science, Business Analytics, or ...","Power Bi, Data Science, AL/ML, Snowflake, AWS, Predictive Modeling, Big Data, Power Platform",4 days ago
Data Analyst Proficient,Softtek,3-5 Yrs,,Bengaluru,Data Analyst Proficient . Role Description . Data Quality with experience in Analytics ...,"Data validation, Analytical, Agile, data governance, Data Analyst, Data quality, Business intelligence, Stakeholder management",1 day ago
Data Analyst,Financial Service,5-10 Yrs,,Hybrid - Bengaluru,"Willingness to work flexible shifts, including UK and US time zonesRecommend process en...","O2C, SAP, Order To Cash, Data Analytics, CRM, Genesys, Data quality, siebel",1 week ago
Data Analyst,Prospect Info Solution,1-5 Yrs,,Noida,"Analyze complex data sets to identify trends and patterns, providing insights to stake...","database maintenance, python, macros, data analysis, data analytics, data mining, predictive analytics, power bi",1 week ago
Data Analyst,Embarkgcc Services,2-6 Yrs,,Bengaluru,"Role & responsibilities Data Analyst (SQL & Python)Location: Embassy TechVillage, Benga...","Data Analytics, Python, SQL, Pyspark, Data analysis, Analytics, Data",1 week ago
Data Analyst,ADA Global,3-4 Yrs,,Bengaluru,"Key Responsibilities: . Design, build, and maintain end-to-end Tableau dashboards and r...","server, python, oracle, data analysis, data warehousing, microsoft azure, transformation, sql server",1 day ago
Data Analyst,Aon,2-5 Yrs,,Bengaluru,"Position type- Full Time. Work Location- Bangalore, Whitefield. Required years of exper...","data science, Agile scrum, Project management, Analytical, power bi, Data Analyst, Stakeholder management, Data warehousing",2 days ago
Data Analyst,Doorstep,2-5 Yrs,,Noida,We are looking for a highly skilled Data Analyst with 2 to 5 years of experience to joi...,"python, macros, data analysis, data analytics, predictive analytics, problem solving, data integrity, machine learning",1 week ago
Data Analyst,Innova Solutions,7-12 Yrs,15-30 Lacs PA,"Hybrid - Noida, Hyderabad, Chennai",Shift : 2pm to 11pm. Work Location : Hyderabad / Noida/Bang / ChennaiSpecialization: Mu...,"Data Analysis, Data Visualization, Data Analytics, DA, Analytics, DAS, Analysis, Data",3 days ago
Data Analyst,Aster DM Healthcare,3-5 Yrs,,Bengaluru,"Bachelors degree in Data Analytics, Statistics, Computer Science, Information Systems, ...","Healthcare Analytics, Data Analytics, Matplotlib, Power Bi, Data Modeling, Statistical Data Analysis, Numpy, Python",1 week ago
ISC Data Analyst,Rockwell Automation,3-8 Yrs,,Bengaluru,Job Description    Summary:  We are excited to invite you to join our dynamic ISC Anal...,"Supply chain, Automation, SAP, Agile, Data structures, microsoft, Analytics, SQL",1 week ago
Data Analyst,Capco,7-15 Yrs,15-30 Lacs PA,"Pune, Bengaluru",Provide regular reporting on key performance indicators (KPIs) to stakeholders. Job Req...,"Pyspark, Python, Banking, Data Analyst, SQL, Data Analytics, Data, Analytics",2 weeks ago
